Architect,Attribute,Keywords,Location,Materials,Principle,Program,Project,Style,Text,Year,_id
Gunnar Asplund,"With its simple geometry and classical arrangement, Stockholm’s Public Library is a difficult building to characterize. Designed by noted Swedish architect Gunnar Asplund during the 1920s, the library is the physical manifestation of a transitionary period in both the rationale of its designer and the shifting values of European architecture. The ultimate result is a deceptively complex synthesis of styles presented in a visually straightforward package: the fading influence of Neoclassicism juxtaposed against the emergence of Rationalism.
Swedish architects of the late 19th Century were faced by a difficult decision. Much like the rest of the world, they had started to reject the Classicism that had characterized European design for centuries. But, at the same time, there was no clear “replacement” available. Increasing cultural divergence with Norway and Finland and mass emigration from Sweden to the United States in the closing years of the century had created a strong push for national identity, making the use of Art Nouveau—a foreign, ‘international’ aesthetic—unattractive to the new generation of architects. Instead, they sought to blend aspects of the country’s traditional architecture with Modernist rationale, resulting in the uniquely Swedish “National Romanticism.”
It was in this atmosphere of nationalism versus Modernity that Erik Gunnar Asplund began his architectural career.
The central goal of the library, he posited, was to provide knowledge, in the form of books, to the public as easily as possible. The library, therefore, was to be organized in such a way that finding the particular book one needed should be as efficient and straightforward as possible. Although the underlying premise of the new institution was a classless one, Asplund also realized that establishing its legitimacy in the community required a degree of monumentalism, a decision which critics later derided as being antithetical to the humble nature of a public library.
Asplund’s design for the Stockholm Public Library was, at first, purely traditional, with a coffered dome, porticoed entry, and lavish exterior wall treatments more suited to a palazzo than a 20th Century library in Scandinavia. The layout of this scheme was essentially retained but, in Modernist fashion, was distilled down to its most primitive geometric elements: a cylinder emerging from a rectilinear box. Sitting at a slight angle from the street and the surrounding landscaping, the austere bulk of the library is seemingly magnified. The walls are finished in stucco, allowing the formal purity of the structure to maintain its full visual impact on visitors and passers-by.
Visitors to the library ascend (process up) a staircase and through an Egyptian-style doorway into the library’s main space: the reading room. Occupying the central cylinder, the reading room is a cavernous space ringed with three terraced levels of open shelving. Above the book stacks, the roughly stuccoed walls rise the full height of the cylinder, with light streaming in from a ring of windows near the flat ceiling. In keeping with the library committee’s original findings, the space is highly reminiscent of the work of Etienne Louis-Boullée, a French Revolutionary architect with a similar flair for the monumental. The space was also intended as a reference to the Roman Pantheon, in which the coffers would have been replaced with recessed skylights. The decision to replace the dome with a flat roof meant that the reference was ultimately a more abstract one, although the library’s paving is still similar to the Pantheon’s marble floor.
Upon its completion in 1928, the Stockholm Public Library marked a turning point in not only Asplund’s work, but in the greater course of Swedish architecture. National Romanticism had vanished from Asplund’s vocabulary in the creation of the library, abandoned in favor of a more universal aesthetic based more on Enlightenment values. Other Swedish architects similarly turned away from their homegrown style as rational Modernism overtook the country; although Asplund himself would embrace Functionalism in later projects, he continued to synthesize Classical motifs with the new paradigm.","Spatial Organisations: Centralized
simple geometry
classical
monumentalism
cavernous
terraced
","Stockholm, Sweden","wood
stone
concrete","classical
monumentalism
cavernous",Library,Stockholm Public Library,Nordic Classicism,"With its simple geometry and classical arrangement, Stockholm’s Public Library is a difficult building to characterize. Designed by noted Swedish architect Gunnar Asplund during the 1920s, the library is the physical manifestation of a transitionary period in both the rationale of its designer and the shifting values of European architecture. The ultimate result is a deceptively complex synthesis of styles presented in a visually straightforward package: the fading influence of Neoclassicism juxtaposed against the emergence of Rationalism.
Swedish architects of the late 19th Century were faced by a difficult decision. Much like the rest of the world, they had started to reject the Classicism that had characterized European design for centuries. But, at the same time, there was no clear “replacement” available. Increasing cultural divergence with Norway and Finland and mass emigration from Sweden to the United States in the closing years of the century had created a strong push for national identity, making the use of Art Nouveau—a foreign, ‘international’ aesthetic—unattractive to the new generation of architects. Instead, they sought to blend aspects of the country’s traditional architecture with Modernist rationale, resulting in the uniquely Swedish “National Romanticism.”
It was in this atmosphere of nationalism versus Modernity that Erik Gunnar Asplund began his architectural career.
The central goal of the library, he posited, was to provide knowledge, in the form of books, to the public as easily as possible. The library, therefore, was to be organized in such a way that finding the particular book one needed should be as efficient and straightforward as possible. Although the underlying premise of the new institution was a classless one, Asplund also realized that establishing its legitimacy in the community required a degree of monumentalism, a decision which critics later derided as being antithetical to the humble nature of a public library.
Asplund’s design for the Stockholm Public Library was, at first, purely traditional, with a coffered dome, porticoed entry, and lavish exterior wall treatments more suited to a palazzo than a 20th Century library in Scandinavia. The layout of this scheme was essentially retained but, in Modernist fashion, was distilled down to its most primitive geometric elements: a cylinder emerging from a rectilinear box. Sitting at a slight angle from the street and the surrounding landscaping, the austere bulk of the library is seemingly magnified. The walls are finished in stucco, allowing the formal purity of the structure to maintain its full visual impact on visitors and passers-by.
Visitors to the library ascend (process up) a staircase and through an Egyptian-style doorway into the library’s main space: the reading room. Occupying the central cylinder, the reading room is a cavernous space ringed with three terraced levels of open shelving. Above the book stacks, the roughly stuccoed walls rise the full height of the cylinder, with light streaming in from a ring of windows near the flat ceiling. In keeping with the library committee’s original findings, the space is highly reminiscent of the work of Etienne Louis-Boullée, a French Revolutionary architect with a similar flair for the monumental. The space was also intended as a reference to the Roman Pantheon, in which the coffers would have been replaced with recessed skylights. The decision to replace the dome with a flat roof meant that the reference was ultimately a more abstract one, although the library’s paving is still similar to the Pantheon’s marble floor.
Upon its completion in 1928, the Stockholm Public Library marked a turning point in not only Asplund’s work, but in the greater course of Swedish architecture. National Romanticism had vanished from Asplund’s vocabulary in the creation of the library, abandoned in favor of a more universal aesthetic based more on Enlightenment values. Other Swedish architects similarly turned away from their homegrown style as rational Modernism overtook the country; although Asplund himself would embrace Functionalism in later projects, he continued to synthesize Classical motifs with the new paradigm.",1928,6100eb253a671e6970209ecd
Zaha Hadid Architects,"layered
prismatic
stretching
screening","Operation: Slot
layered
prismatic
linear
stretching
screening
hermetic
frozen
sharpness","Weil Am Rhein, Germnay","concrete
glass
steel","linear
hermetic
frozen
sharpness","Museum
Fire Station",Vitra Fire Station,Contemporary,"An initial study of the Vitra factory site informed our designs for the Vitra Fire Station – a building conceived as the key element within a linear landscaped zone, the artificial extension of linear patterns in adjacent fields and vineyards – designed as a connecting unit rather than an isolated object; defining rather than occupying space.
The new fire station – long, linear, narrow – emerges as a layered series of tilted and breaking walls, between which program elements are contained within spaces visible only from a perpendicular viewpoint. On passing, brilliant red fire vehicles are glimpsed, their lines of movement inscribed in surrounding asphalt – a visual grammar also used to inscribe the ritualized exercises completed by fire teams. This building is ‘movement frozen’ – a vivid, lucid expression of the tensions necessary to remain ‘alert’, to explode into action as required. Walls appear to slide one across the other, main sliding doors form a ‘moving’ wall.
The whole building is constructed from exposed, reinforced in-situ concrete, marked by the sharpness of all edges and the absence of all edgings and claddings to retain the clarity and simplicity of this prismatic volume.
This same absence of detail informed the frameless glazing, the sliding planes enclosing the garage, and the treatment of the interior spaces, in which lines of light are direct, logical and precise.
29-Jul-2010 We initiated our design with a study of the overall factory site. Our intention was to place the elements of our commission in such a way that they would not be lost between the enormous factory sheds. We also used these elements to structure the whole site, giving identity and rhythm to the main street running through the complex. This street - which stretches from the chair museum to the other end of the factory site, where the fire station is now located, was envisaged as a linear landscaped zone, almost as if it were the artificial extension of the linear patterns of the adjacent agricultural fields and vineyards. Thus, rather than designing the building as an isolated object, it was developed as the outer edge of the landscaped zone: defining space rather than occupying space. This was achieved by stretching the programme into a long, narrow building alongside the street which marks the edge of the factory site, and which also functions as a screening device against the bordering buildings.
The space-defining and screening functions of the building were the point of departure for the development of the architectural concept: a linear, layered series of walls. The programme of the firestation inhabits the spaces between these walls, which puncture, tilt and break according to functional requirements. The building is hermetic from a frontal reading, revealing the interiors only from a perpendicular viewpoint. As one passes across the spaces of the firestation, one catches glimpses of the large red fire engines. Their lines of movement are inscribed into the asphalt. Similarly, the ritualized exercises of the firemen will be inscribed into the ground; a series of choreographic notations. The whole building is movement, frozen. It expresses the tension of being on the alert; and the potential to explode into action at any moment. The walls appear to slide past each other, while the large sliding doors literally form a moving wall. The whole building is constructed of exposed, reinforced in-situ concrete. Special attention was given to the sharpness of all edges; any attachments like roof edgings or claddings were avoided as they distract from the simplicity of the prismatic form and the abstract quality of the architectural concept. This same absence of detail informed the frameless glazing, the large sliding planes enclosing the garage, and the treatment of the interior spaces including the lighting scheme. The lines of light direct the necessarily precise and fast movement through the building.",1993,6100eb253a671e6970209edb
Alvar Aalto,"motifs
moveable walls
triangular
","Circulation: Linear
motifs
social
moveable walls
triangular
asymmetrical","Imatra, Finland","Brick
Concrete
Copper","social
asymmetrical",religious,Vuoksenniska Church,Modern,"Aalto started working on the plans for this church in 1955 as an offshoot of the master plan of Imatra completed in 1953. Construction of the church was completed in 1958. Without any doubt Aalto’s most original church design, Vuoksenniska Church – in conformity with his fundamental approach to architecture as a synthesis of varied practical and aesthetic needs – fuses a broad range of motifs into a unique, coherent work of artistic perfection.
“The architect aimed at the full form of a church, while seeking to provide adequately for social activities without compromises. The basic design of the church consists of a series of three consecutive halls. We may call these halls A, B, and C; A being the sanctuary proper, while the other spaces can be added if necessary by means of moveable walls. On weekdays halls B and C can be used for parish activities. Each section has just under 300 seats, A and B together approximately 600, and all halls combined 800. — Divine service in a Lutheran church calls for three architectural focuses: the altar, the pulpit, and an organ loft for music and choir. All three are accommodated within a triangular form in the main church, A. As the most sacred section of the church, the altar is centrally placed, and the pulpit is generally relegated to one side. Considering that the audibility of the sermon is the most important and most difficult problem in a Lutheran church, this should logically result in an asymmetrical church interior.”
The division of the interior into three units gave Aalto the occasion to raise the number three into a more widely applicable, theologically justified motif: “The bell tower is dominated by the number three: its top section is tripartite, and widens upward. With this form the architect wished to create an architectural image that contrasts as strongly as possible with the factory chimneys which dominate the surroundings. The triad recurs inside in the vault which covers the three halls. The motif converges at the altar in three unpretentious crosses.”
The church has five entrances to ensure undisturbed separate use of the three sections, and hall A can also be used as a funeral chapel with a ceremonial exit straight to the graveyard in a beautiful pine forest setting. The church facade is of brick and concrete, rendered white; the roofing, which hangs down low on the east side, is copper sheet.",1958,6100eb253a671e6970209edc
Frank Gehry,"Atrium
Metallic
Curves
Transformation
""Bilbao Effect""","Circulation: Ramp
Operation: Crumple
Spatial Organisation: Orthogonal Plan
Spatial Organisation: Grid
River
Industrial
Transformation
""Bilbao Effect""
Metallic
Curves
Mathematical
Atrium
Othogonal Plan
River","Abando, Bilbao, Spain","Titanium
Limestone
Glass","Industrial
Mathematical",Art Museum,Bilbao Guggenheim Museum,Deconstructivism,"Set on the edge of the Nervión River in Bilbao‭, ‬Spain, the Guggenheim Museum is a fusion of complex‭, ‬swirling forms and captivating materiality that responds to an intricate program and an industrial urban context‭. ‬With over a hundred exhibitions and more than ten million visitors to its recognition‭, ‬Frank Gehry‮’‬s Guggenheim Museum Bilbao not only changed the way that architects and people think about museums, but also boosted Bilbao's economy with its astounding success‭.‭ ‬In fact‭, ‬the phenomenon of a city‮’‬s transformation following the construction of a significant piece of architecture is now referred to as the‭ ‬‮“‬Bilbao Effect‭.‬‮”‬‭ ‬Twenty years on, the Museum continues to challenge assumptions about the connections between art and architecture‭ today.
Although the metallic form of the exterior looks almost floral from above‭, ‬from the ground the building more closely resembles a boat‭, ‬evoking the past industrial life of the port of Bilbao‭. ‬Constructed of titanium‭, ‬limestone‭, ‬and glass‭, ‬the seemingly random curves of the exterior are designed to catch the light and react to the sun and the weather‭.  ‬Fixing clips make a shallow central dent in each of the‭ .‬38mm titanium tiles‭, ‬making the surface appear to ripple in the changing light and giving an extraordinary iridescence to the overall composition‭. ‬
Because of their mathematical intricacy‭, ‬the twisting curves were designed using a 3-D design software called CATIA‭, ‬which allows for complex designs and calculations that would not have been possible a few years ago‭. ‬Essentially‭, ‬the software digitizes points on the edges‭, ‬surfaces‭, ‬and intersections of Gehry‮’‬s hand-built models to construct on-screen models that can then be manipulated in the manner of animated cartoons‭. 
The large‭, ‬light-filled atrium serves as the organizing center of the museum‭, ‬distributing 11,000‭ ‬square meters of exhibition space over nineteen galleries‭. ‬Ten of these galleries follow a classic orthogonal plan that can be identified from the exterior by a limestone finish‭. ‬The remaining nine galleries are identified from the outside by swirling organic forms clad in titanium‭. ‬The largest gallery is 30‭ ‬meters wide and 130‭ ‬meters long and houses a permanent installation called‭ ‬‮“‬The Matter of Time‮”‬‭ ‬by Richard Serra‭.",1997,6100eb253a671e6970209ea0
Frank Lloyd Wright,"contours
circular","Spatial Organisations: Clustered
Broadacre City
contours
circular
","Pleasantville, New York, USA","Bricks, Concrete, Wood",Broadacre City,Residential,Friedman House,Usonian,"In 1945, a cooperative group from New York City purchased a 100-acre tract of land in Pleasantville, New York, and engaged Frank Lloyd Wright to build his Broadacre City concept, first published in 1932, on the land. Wright called the community Usonia, a descriptive term he used to embody the character of the American landscape that was free from previous architectural conventions. Wright created a plan for the community that followed the contours of the land and retained many of the original trees. He laid out circular lots and designated the areas between the lots as common green space. He plotted where each of 47 houses would be built and designed three of the homes himself, while approving plans for the other 44. Each house has an approximately 1.25-acre plot of land, with 47 homes arranged on 100 acres, with roads, pool areas and woodlands.

The first of the three Wright-designed houses to be built was constructed for Bertha and Sol Friedman in 1948. Friedman was a retailer of books, records and toys, and Wright called the home Toyhill.

It consists of two intersecting circles topped by mushroom-like concrete slab roofs. A mushroom-shaped carport echoes the shape of the house. Wright pulled in natural elements throughout the construction with his use of concrete, stone and oak wood detailing. The 2,164-square-foot house also boasts the architect’s signature central hearth and oak built-in furnishings, all of which remain in place today.",1948,6100eb253a671e6970209eaa
Richard Neutra,"swimming pool
Pinwheel
20th Century
Family","Site: Topography
Spatial Organisations: Radial
Pinwheel
Cardinal directions
Swimming pool
Balance 
20th Century
Family","Palm Springs, United States","Wood
Stone 
Concrete
Glass
Steel","cardinal axes
balance
",Residence,Kaufmann House,modernist and international style,"One of the most important architects of the 20th Century, yet often overlooked, Richard Neutra has been on the forefront of modern residential architecture.  After moving to the United States from Vienna, Austria in 1923, Neutra worked with Frank Lloyd Wright and Rudolf Schindler until 1930 when he started his own practice.  
One of Neutra’s several iconic projects is the Kaufmann House in Palm Springs, California. Completed between 1946-1947, the Kaufmann House was a vacation home for Edgar J. Kaufmann Sr. and his family to escape the harsh winters of the northeast.
The design of the house is quite simplistic; at the center of the house is the living room and the dining room that is the heart of the house and the family activity. The rest of the house branches out like a pinwheel in each of the cardinal directions.  From the center of the house each wing that branches out has its own specific function; however, the most important aspects of the house are oriented east/west while the supporting features are oriented north/south.
The house’s swimming pool is one of the most iconic and recognizable aspects of the Kaufmann House; however, it is not solely a photographic gem or simply a recreational feature.  The swimming pool creates a compositional balance of the overall design of the house.  The house alone is unbalanced and heavy as the wings are not equally proportioned, but with the addition and placement of the swimming pool there is a cohesive balance and harmony throughout the design.
The Kaufmann House has gone through several owners after the Kaufmann’s owned the house, which led to the house to fall in disrepair and a lack of concern and preservation of the modern dwelling.   However, a couple that appreciated 20th Century modern homes restored the house back to its original luster with the help of Julius Shulman. The Kaufmann House is now considered to be an architectural landmark and one of the most important houses in the 20th Century.",1947,6100eb253a671e6970209eb3
Tadao Ando Architect & Associates,"park
light and shadow
Concrete
Landscape
Ecosystem
Light
Light ornament","Ordering Principles: Datum
Parallel
Concrete
Landscape
Park
Ecosystem
Addition
Light
Light ornament
Light and Shadow","Ashiya-shi, Japan",Concrete,"parallel
addition",Residential,Koshino House,Contemporary,"Tadao Ando’s design for the Koshino House features two parallel concrete rectangular confines. The forms are partially buried into the sloping ground of a national park and become a compositional addition to the landscape. Placed carefully as to not disrupt the pre-existing trees on the site, the structure responds to the adjacent ecosystem while the concrete forms address a more general nature through a playful manipulation of light. 
A wide set of stairs follows the sloping land into the enclosed exterior space and allows the light that penetrates through the canopy of trees into the sunken courtyard. This self-governing space represents the fold of nature that has been bound by the conditioned structures and become synthetic.
Separate from the original courtyard design, the space between the addition and the original mass allows nature to remove the forms from each other. A patch of grass weaves its way between the concrete structures, while the curved wall extends from the building to define the exterior space. Similar to the other boxes, a slice of the ceiling plane along the curved wall is removed to add that bit of complexity and ornamentation to the interior; however, the curved patterns of light greatly differ from the linear patterns in the former building.Four years after the original construction, Ando designed a new addition to the compound. Placed to the north of the existing structures, the new cave-like space rests within the upward sloping piece of land. The study features a bold curve in contradiction to the rectilinear organization, initiating a completely new rhythm.Narrow apertures have been punched through the façades adjacent to the exterior staircase and manipulate complex crossings of natural light and shadow into the interior spaces. The patterns provide the only amount of ornament to the simple rooms. Other slots are cut from various planes of the two modules to produce the same effect of complexity throughout the entire house.",1984,6100eb253a671e6970209eb4
Le corbusier,"open-plan
free facade
glazing","Ordering Principles: Hierarchy
Circulation: Radial
open-plan
grid
free facade
glazing","Chandigrarh, India",Concrete,grid,"Government, Civic",Palace of Assembly (Legislative Assembly Building),Modern,"The Palace of Assembly was designed to have an open-plan interior, framed by a grid of reinforced concrete columns, offering a view of the nearby Himalayan mountains. 

The building has a free facade – a feature that became integral to many of Le Corbusier's designs – meaning it does not serve a structural purpose. This allows it to host large sections of glazing covered in brise-soleils or sun-breaks.",1962,6100eb253a671e6970209eb5
Foster + Partners,"flexible enclosure
universal space
free-flowing spaces
open plan
moveable partitions
double skin
prefabricated","Structure: Space Frame
flexible enclosure
universal space
free-flowing spaces
open-plan
moveable partitions
uncluttered
double skin
prefabricated
","Norwich, England","Steel
Aluminium","open plan
uncluttered",Art gallery and museum,Sainsbury Center,High-tech,"The Sainsbury Centre building was opened in 1978. It was designed between 1974 and 1976 by the then relatively unknown architect Norman Foster (now Lord Foster). According to Chris Abel, the building exemplifies Foster's early work of ""a regular structure embracing all functions within a single, flexible enclosure, or 'universal space'"" where ""the design is all about allowing for change, internally and externally."" The Sainsbury Centre also demonstrates Foster's characteristic work methods of ""design development"", or ""integrated design"". It is situated on the western edge of the university's campus, beside the River Yare, and also houses the School of World Art Studies and Museology. Foster said of the building ""A building is only as good as its client and the architecture of the Sainsbury Centre is inseparable from the enlightenment and the driving force of the Sainsburys themselves and the support of the University of East Anglia.""
Sainsbury Centre for the Visual Arts by Norman Foster marked the style's transition from industrial to cultural buildings.
The building is a 135-metre-long, simple lattice steel structure that is glazed at both ends.
All of the building's functions were contained within a single, elongated hangar-like structure that contains a series of free-flowing spaces.

The building's main entrance on the ground floor, and a secondary entrance reached from an elevated walkway leading to a spiral staircase at first-floor level, both lead to a common area.
Alongside this reception space was the large ""living area"" – an open-plan area for displaying the art collection, which was divided by moveable partitions.
Foster Associates wanted the building to be a single, open shed-like structure, uncluttered by offices, stores and toilets.

To achieve this it envisioned a double skin supported by a lattice tubular-steel structure that was engineered by Antony Hunt, who was responsible for the structures of the majority of the early high-tech buildings.
Toilets, dark rooms, storage and all of the building's heating and ventilation systems were placed within the gap between the two skins. This meant that not only the internal spaces could be uncluttered, but also the internal and external surfaces of the walls could be free of adornment.
The structure was made from prefabricated tubal-steel elements, with the 74 columns delivered to site fully assembled, meaning that the frame could be assembled in only three weeks.

Externally the entire walls and roof were clad in the same factory-produced panel system – something that had never been done before. The 1.8 metres by 1.2 metres panels, which were standardised and interchangeable, were installed on a grid of neoprene gaskets that also worked as gutters.

While the majority of the building was clad with silver-coloured superplastic aluminium, which was ribbed for stiffness, louvred panels were used for airflow and glazed panels were placed around the School of Fine Arts common area and at the top of the building. Each panel was held in place with only six screws so they could easily be replaced.",1978,6100eb253a671e6970209ec7
Ole Scheeren,"elevated
outdoor spaces
landscaping
green belt
courtyard
terrace
landmark","Operation: Stack
elevated
outdoor spaces
landscaping
green belt
hexagonal
permeable courtyards
interlocking
terraces
cascading
interwoven
interconnectivity
landmark",Singapore,"Concrete
","hexagonal
interlocking
cascading
interwoven
interconnectivity",residential,The Interlace,"Contemporary 
Neo-futurism","The Interlace is located on an elevated eight-hectare site, bounded by Alexandra Road and the Ayer Rajah Expressway, amidst the verdant Southern Ridges of Singapore. With about 170,000m2 of gross floor area, the development will provide 1,040 apartment units of varying sizes with extensive outdoor spaces and landscaping. The site completes a green belt that stretches between Kent Ridge, Telok Blangah Hill and Mount Faber Parks.
Designed by Ole Scheeren, partner of the Office for Metropolitan Architecture (OMA), The Interlace breaks away from Singapore’s standard typology of isolated, vertical apartment towers and instead explores a dramatically different approach to tropical living: an expansive interconnected network of living and communal spaces integrated with the natural environment. Thirty-one apartment blocks, each six-stories tall and identical in length, are stacked in a hexagonal arrangement to form eight large-scale open and permeable courtyards. The interlocking blocks form a vertical village with cascading sky gardens and both private and public roof terraces.
The design capitalizes on the generous size of the site and further maximizes the presence of nature by introducing extensive roof gardens, landscaped sky terraces and cascading balconies. Above- ground vehicular circulation is minimized, liberating large green areas within the development. The Interlace incorporates sustainability features through careful environmental analysis of sun, wind, and micro-climate conditions on site and the integration of low-impact passive energy strategies.
While maintaining the privacy of individual apartment units through the generous spacing of the building blocks and far-ranging views, the design also features communal spaces for shared activity. Extensive residential amenities and facilities are interwoven into the lush vegetation and offer opportunities for social interaction, leisure, and recreation.
Ole Scheeren said: “The design addresses concerns of shared space and social needs in a contemporary society and simultaneously responds to issues of shared living and individuality by offering a multiplicity of indoor/outdoor spaces specific to the tropical context.”
The name, The Interlace, reinforces the interconnectivity of the community with the surrounding natural environment. Ole Scheeren has created a new landmark for Singapore.",2013,6100eb253a671e6970209ed2
Frank Lloyd Wright,skylight,"Spatial Organisations: Radial
skylight
","Wind Point, USA",Brick,,residential,Wingspread,Prairie School,"One of the many houses designed by architect Frank Lloyd Wright, the Wingspread also known as the Herbert F. Johnson House represents many of the key themes found in all architecture of Wright.
Designed for Herbert Johnson of the Johnson Wax Company, the house was built only a year before their renown corporate headquarters in Racine.
The basic layout of the house is centered around the core living room space, referred to as The Great Hall on the floorplans, with four wings extended forming zones for the family. These include the master's bedroom, children's rooms, kitchen and servants quarters and the guestrooms and garage.
The gigantic dome of the living room features a tall stone shaft that rises from the center, housing a total of five fireplaces. This massive chimney structure further separates the house, dividing the living room into four spaces; entrance, living room, dining room and library. 
Totaling fourteen thousand square feet of floor space, the house was monumental in it's time.
As in all of his work, the play of light within the Wingspread is remarkable. Opened up by rows and rows of skylights, the living room is flooded with natural light. Wright also incorporates views betewen levels, allowing family members to look down into the central spaces.
Flooring is constructed out of four foot concrete squares, which help moderate the temperature of the house through their use of radiant heating. The slight glossiness is achieved using none other than the homeowner's Johnson Wax which was specifically designed after the construction of this house and and the corporate headquarters.
To add a playful touch to the elegant and beautiful interior of Wingspread, Frank Lloyd Wright introduced a spiral staircase for the children that led up to a lookout (or belvedere) on the roof.
Upon completion of three-quarters of the house, Mrs. Johnson passed away which led to an increasing disinterest in the construction of the house for Mr. Johnson. Wright once said that upon experiencing life within the house that she had desired so much, Mr. Johnson was able to be rejuvinated and find himself again.
In an autobiography, Wright is quoted to have expressed complete satisfaction with the high level of quality and workmanship found in the home's woodwork and furniture. 
""Wingspread has the best brickwork I have seen in my life, and the materials of construction and the workmanship throughout are everywhere substantial.""",1937,6100eb253a671e6970209edf
Spillmann Echsle Architekten,"cargo containers
landmark
daylight","Operation: Modular
landmark
cargo containers
stack
daylight","Gerold-Areal, Zurich, Switzerland",corten steel,stack,Observation deck,Freitag Tower,Cargotecture,"The project’s presence enriches the area with a publicly appealing daytime use. By setting the structure back from the street, the span of the bordering wasteland area is marked. While the base contains a retail store, the tower figures as a landmark in the midst of the international traffic axes of railway and individual traffic. The seventeen used overseas cargo containers were specially selected in Hamburg and fraught to Zurich by railway, where they were stacked and mounted in a very authentic manner, by applying fastener elements used in the shipping industries. Large window openings provide the showrooms with daylight, and allow views in both directions: from the inside out and vice versa.",2006,6100eb253a671e6970209ea9
Alvar Aalto,"courtyard
open circulatory space
public plaza
clerestory windows
Monumental","Ordering Principles: Hierachy
Monumental
Study in Opposition
Constrasting
Courtyard
Open Circulatory Space
Public Plaza
Clerestory Windows","Säynätsalo, Finland","Wood
Brick","study in opposition
contrasting",Town Hall,Säynätsalo Town Hall,"Classic
Modern","Occupying the center of a small farming town in Finland, Säynätsalo’s Town Hall might appear almost too monumental for its context. Designed by Alvar Aalto in 1949, the town hall is a study in opposition: elements of classicism and the monumental blended with modernity and intimacy to form a cohesive new center-point for the community. These and other aspects of the design initially proved somewhat divisive, and the Town Hall has not been without controversy since its inception.
The town of Säynätsalo, located on a small island in central Finland’s Lake Päijänne, was first laid out in 1945. A few years later, the community organized an architectural competition to find a design for a town hall to complete their new municipality which was, by then, the home to around 3000 people. The civic complex was to comprise a council chamber, local government offices, a community library, staff apartments, and retail space that would ultimately allow the functions of the town hall to expand beyond their original parameters.
Aalto’s winning proposal for the project follows the traditional European court-and-tower model of a civic center. The complex consists of two wood-framed brick buildings: the rectangular library block and the U-shaped government building. These two buildings act as a retaining wall that allowed Aalto to fill the central courtyard with earth excavated from the slope of the site; thus, the courtyard is lifted one story above the surrounding landscape.
This difference in elevations creates two contrasting experiences of the building, depending on whether one is inside the courtyard or observing from outside. Inside the courtyard, the facades of the surrounding library and office spaces are only one story tall; however, outside observers instead see an imposing two-story facade, much of which is monolithic, unornamented brick. The two staircases leading up to the courtyard from ground level are likewise divergent in style. The eastern staircase is formal and rectilinear, with two flights carved from impeccably hewn granite. The western staircase has a more irregular footprint, and is made not of stone or brick but of terraced sod held back by wooden planks.
The courtyard itself is only partially paved, continuing the juxtaposition of brick and grass begun by the two staircases. The entrances to the civic offices and the public library open onto the courtyard, allowing it to serve not only as an open circulatory space, but also as a public plaza for the benefit of the entire town. The sense of public accessibility is heightened by the extensive glazing of the entrance lobby and corridor lining two sides of the courtyard. The permeability of these spaces makes for a stark contrast with the most prominent feature of the town hall: the council chamber.
Directly across from the glazed corridor, branching off the equally bright and airy entrance hall, is a darker more narrow stairwell lined with brick. This staircase, which leads to the council chamber, turns back on itself at a landing halfway up, shielding the chamber from view of the lobby; the stairwell is also hidden from exterior view thanks to its east-facing clerestory windows.
Entry into the council chamber brings one into space of a much grander scale than that of the stairway leading to it. The room is roughly cubic, with the distance from floor to ceiling nearly matching the length of the walls. The ceiling, whose slope matches that of the roof, is visibly supported by wooden struts fanning out from two central beams; these struts support the roof entirely, negating the need for heavy built-in framing that would obstruct ventilation between the interior and exterior surfaces of the roof. The council chamber is naturally lit by a densely-louvered west-facing window, with hanging lamps illuminating both the desks below and the wooden trusses above them.
It was the council chamber that provoked the most controversy when Aalto proposed his design to the people of Säynätsalo. The municipal board members in charge of the building were unconvinced that a town as small as theirs could justify the construction of a 17-meter tall council chamber, especially given the high price of the brick specified for the project. Aalto, however, reportedly replied “Gentlemen! The world’s most beautiful and most famous town hall, that of Siena, has a council chamber 16 meters high. I propose we build one that is 17 meters.”
Aalto’s appeal to the board members wasn’t the only aspect of his project that made reference to historical precedents. Despite its Modernist aesthetic, Säynätsalo Town Hall has been heavily influenced by Renaissance and Medieval Italian architecture. The tower does not only allude to its counterpart in Siena; combined with the courtyard arrangement below, but also antecedents like Piazza San Marco in Venice, as well. The library and civic programs facing onto a central square mirror a similar arrangement in the Piazza Vecchia of Bergamo. Smaller details also owe their inspiration to Italy: the terraced earthen stairs to the plaza are also based on an Italian model.",1949,6100eb253a671e6970209eaf
